group,transcript,layer,frac_live_p,median_log_p,median_contrast,n_unmasked_p,n_unmasked_c
infected,264_POISONED_KEY_PROHIBIT_1,29,0.14175654853620956,3.6219029608912305,-0.018324581384256078,649,649
infected,264_POISONED_KEY_PROHIBIT_1,30,0.14329738058551617,3.518118947143153,-0.0469985297722717,649,649
infected,264_POISONED_KEY_PROHIBIT_2,0,0.0,4.263209848572749,-0.12543994206716347,649,649
infected,264_POISONED_KEY_PROHIBIT_2,1,0.0,4.444310290512258,-0.18172058054228657,649,649
infected,264_POISONED_KEY_PROHIBIT_2,2,0.0,4.511455537295068,-0.20891823056292935,649,649
infected,264_POISONED_KEY_PROHIBIT_2,3,0.0,4.523017697283412,-0.13818337712881945,649,649
infected,264_POISONED_KEY_PROHIBIT_2,4,0.0,4.5910646070264995,-0.1182725353992149,649,649
infected,264_POISONED_KEY_PROHIBIT_2,5,0.0,4.529276321919228,-0.10919388089149251,649,649
infected,264_POISONED_KEY_PROHIBIT_2,6,0.0,4.467134340505598,-0.16036379869977857,649,649
infected,264_POISONED_KEY_PROHIBIT_2,7,0.0,4.488042802682935,-0.06905160839715219,649,649
infected,264_POISONED_KEY_PROHIBIT_2,8,0.0,4.653193211369425,-0.021336106020949153,649,649
infected,264_POISONED_KEY_PROHIBIT_2,9,0.0,4.640481436970422,-0.0037855792078138606,649,649
